Index,ZIP,Category of products,Example products,Years in business,Has a current trade relationship with a buyer,Organic cetifications,The avg # of pallets sold weekly:,Groups this vendor wants to sell to,Current wholesale percentage,Goal wholesale percentage
1,02806,Herbs/Plants,"Lavender, Herbs, Honey",4,No,No,1,"Retail Grocer, Restaurant, Hotel, Food Processor, Other",20,75
2,02021,Herbs/Plants,"Shrubs, drinking vinegar",4,Yes,No,1,"Distributor, Grocer, Institution, School, Non-profit, Restaurant, Hotel",25,75
3,02703,Vegetables,Microgreens and Wheatgrass,6,Yes,Yes,NA,"Distributor, Grocer, Restaurant, Hotel, Food Processor",75,90
4,01301,Vegetables,"Cabbage, beet, carrot, pepper, cauliflower",18,Yes,Yes,5,"Distributor, Grocer, Institution, School, Non-profit, Restaurant, Hotel",90,90
5,02568,Mushrooms,Mushrooms,2,No,No,1,"Distributor, Grocer, Institution, School, Non-profit, Restaurant, Hotel, Food Processor, Other",0,no
6,01035,Mushrooms,Mushrooms,6,Yes,Yes,NA,Other,0,0
7,02760,Herbs/Plants,Tea,3,Yes,No,2,"Distributor, Grocer, Institution, School, Restaurant, Hotel, Food Processor",99,no
8,01351,Vegetables,Organic Produce ,28,Yes,Yes,20,"Distributor, Grocer, Institution, School, Non-profit, Restaurant, Hotel, Food Processor, Other",35,50
9,03281,Vegetables,"Cabbage, carrots, table beets, citrus",6,No,Yes,2,"Institution, School, Restaurant, Hotel",95,95
10,02909,Other,Sauerkraut,5,Yes,Yes,NA,"Distributor, Grocer, Institution, School, Non-profit, Restaurant, Hotel",70,90
11,02114,Other,Not specified,150,No,No,NA,Non-profit,na,na
12,02054,Vegetables,"Lettuce, Kale, Spinach, Rainbow chard.",4,Yes,No,1,"Distributor, Grocer, School, Restaurant, Food Processor",0,20
13,05701,Other,Maple Syrup,5,Yes,No,1,"Distributor, Grocer, Institution, Restaurant, Food Processor",30,40
14,01373,Mushrooms,Mushrooms,9,Yes,Yes,15,"Distributor, Grocer, Institution, School, Non-profit, Restaurant, Hotel, Food Processor",50,80
15,01844,Vegetables,"Rhubarb, Peppers, Pumpkins, Kale",110,Yes,No,10,"Distributor, Grocer, Institution, School, Non-profit, Restaurant, Hotel, Food Processor",90,90
16,01523,Vegetables,"African Corn (Maize), bok choy, pumpkins, pea tendrils",20,Yes,No,10,"Distributor, Grocer, Institution, School, Non-profit, Restaurant, Hotel, Food Processor",20,no
17,02118,Vegetables,"Lettuces, herbs, small root vegetables",6,Yes,No,NA,"Distributor, Institution, School, Restaurant, Hotel, Food Processor",25,no
18,02131,Vegetables,"Microgreens, edible flowers, coffee plants",4,No,No,NA,"Restaurant, Hotel",25,25
19,01375,Vegetables,"Salad greens, heirloom tomatoes, onions, eggplant",13,Yes,Yes,15,"Distributor, Grocer, Institution, School, Non-profit, Restaurant, Hotel, Food Processor",100,100
20,01754,Vegetables,Fruits and Vegetables,26,No,No,10,"School, Restaurant, Hotel, Food Processor",50,50
21,01921,Herbs/Plants,"Lavender, parsley, rosemary, basil",3,No,Yes,1,"Distributor, Grocer, Restaurant, Food Processor, Other",50,100
22,01342,Vegetables,Certified organic vegetables,15,Yes,Yes,20,"Distributor, Grocer, Institution, School, Non-profit, Restaurant, Hotel, Food Processor",70,na
23,02494,Other,Not specified,4,Yes,Yes,NA,"Distributor, Grocer, Institution, School, Hotel",80,80
24,02917,Herbs/Plants,"Herbal tea, dried herbs",2,Yes,No,1,"Grocer, Institution, School, Non-profit, Restaurant, Hotel",45,75
25,01035,Vegetables,Organic heirloom tomatoes ,3,Yes,Yes,15,"Distributor, Grocer, Institution, School, Non-profit, Restaurant, Hotel, Food Processor",95,99
26,01886,Mushrooms,Gourmet mushrooms,4,Yes,Yes,1,Restaurant,100,100
27,01002,Herbs/Plants,"Specialty cut flowers, edible flowers, dye flowers ",2,No,Yes,3,"Distributor, Grocer, Institution, School, Non-profit, Restaurant, Hotel",15,no 
28,01852,Other,Not specified,15,No,No,NA,"Grocer, Institution, School, Restaurant, Food Processor",10,na
29,01915,Other,California Almonds ,3,Yes,No,1,"Distributor, Grocer, Institution, School, Non-profit, Restaurant, Hotel, Food Processor",40,65
30,02715,Vegetables,"Tomatoes, cucumbers, greens, squashes",60,No,No,20,"Distributor, Grocer, Institution, School, Non-profit, Restaurant, Hotel, Food Processor",0,no
31,02130,Other,Coffee beans,3,No,No,2,"Grocer, Restaurant, Hotel, Other",0.5,60
32,01921,Other,Not specified,6,Yes,No,NA,Institution,na,na
33,02126,Vegetables,"Hot peppers, carrots, onions, garlic",1,No,No,1,"Grocer, Restaurant",0,50
34,01035,Vegetables,"garlic, leeks, sweet potatoes, eggplant",9,Yes,Yes,5,"Distributor, Grocer, Restaurant, Food Processor",30,60
